SL_NO,Brand,Model,Announced,Audio_jack,Battery,Bluetooth,CPU,Chipset,Colors,Dimensions,Display_type,GPU,Internal_memory,Loud_speaker,Memory_card,Network,Operating_System,Primary_camera,RAM,Radio,SIM,Secondary_camera,Sensors,Status,USB
11,Apple,iPhone 6,2014 September,Yes,Non-removable Li-Po 1810 mAh battery (6.9 Wh),4.0| A2DP| LE,Dual-core 1.4 GHz Typhoon (ARM v8-based),Apple A8,Space Gray| Silver| Gold,138.1 x 67 x 6.9 mm (5.44 x 2.64 x 0.27 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR GX6450 (quad-core graphics),16/32/64/128 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 8| upgradable to iOS 10.3.2,8 MP| f/2.2| 29mm| phase detection autofocus| dual-LED (dual tone) flash|,1 GB RAM DDR3,No,Nano-SIM,1.2 MP| f/2.2| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2014 September,2.0| reversible connector
12,Apple,iPhone SE,2016 March,Yes,Non-removable Li-Po 1624 mAh battery (6.21 Wh),4.2| A2DP| LE,Dual-core 1.84 GHz Twister,Apple A9,Space Gray| Silver| Gold| Rose Gold,123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR GT7600 (six-core graphics),16/32/64/128 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 9.3.2| upgradable to iOS 10.3.2,12 MP| f/2.2| 29mm| phase detection autofocus| dual-LED (dual tone) flash|,2 GB RAM,No,Nano-SIM,1.2 MP| f/2.4| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2016 March,2.0| reversible connector
13,Apple,Watch Edition 42mm,2014 September,No,Non-removable Li-Ion 250 mAh battery (0.94 Wh),4.0| LE,520 MHz,Apple S1,18-karat Rose Gold/White| Midnight Blue Buckle,42 x 35.9 x 10.5 mm (1.65 x 1.41 x 0.41 in),AMOLED capacitive touchscreen 16M colors,PowerVR SGX543,8 GB,Yes,No,No cellular connectivity,watchOS 1.0| upgradable to 3.2.2,(undefined),512 MB RAM,No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2015 July,No
14,Apple,Watch Series 2 38mm,2016 September,No,Non-removable Li-Ion 273 mAh battery (1.03 Wh),4.0| A2DP,Dual-core,Apple S2,Sport band: silver case/white| black case/black,38.6 x 33.3 x 11.4 mm (1.52 x 1.31 x 0.45 in),AMOLED capacitive touchscreen 16M colors,(undefined),(undefined),Yes,No,No cellular connectivity,watchOS 3.0| upgradable to 3.2.2,(undefined),(undefined),No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2016 December,No
15,Apple,iPhone 4s,2011 October,Yes,Non-removable Li-Po 1432 mAh battery (5.3 Wh),4.0| A2DP| LE,Dual-core 1.0 GHz Cortex-A9,Apple A5,Black| White,115.2 x 58.6 x 9.3 mm (4.54 x 2.31 x 0.37 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX543MP2,8/16/32/64 GB,Yes,No,GSM / CDMA / HSPA / EVDO,iOS 5| upgradable to iOS 9.3.5,8 MP| f/2.4| 35mm| autofocus| LED flash|,512 MB RAM,No,Micro-SIM,VGA| 480p@30fps| videocalling over Wi-Fi and 3G,Accelerometer| gyro| proximity| compass,Available. Released 2011 October,2
16,Apple,iPhone 7,2016 September,No,Non-removable Li-Ion 1960 mAh battery (7.45 Wh),4.2| A2DP| LE,Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),Apple A10 Fusion,Jet Black| Black| Silver| Gold| Rose Gold| Red,138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR Series7XT Plus (six-core graphics),32/128/256 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 10.0.1| upgradable to iOS 10.3.2,12 MP| f/1.8| 28mm| phase detection autofocus| OIS| quad-LED (dual tone) flash|,GB| 2 GB RAM,No,Nano-SIM,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2016 September,2.0| reversible connector
17,Apple,iPad mini 3,2014 October,Yes,Non-removable Li-Po 6470 mAh battery (24.3 Wh),4.0| A2DP| EDR,Dual-core 1.3 GHz Cyclone (ARM v8-based),Apple A7,Space Gray/Black| Silver/White| Gold,200 x 134.7 x 7.5 mm (7.87 x 5.30 x 0.30 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR G6430 (quad-core graphics),16/64/128 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 8.1| upgradable to iOS 10.3.2,5 MP| f/2.4| 32mm| autofocus|,1 GB RAM DDR3,No,Nano-SIM/ Electronic SIM card (e-SIM),1.2 MP| 720p@30fps| face detection| FaceTime over Wi-Fi or Cellular,Fingerprint (front-mounted)| accelerometer| gyro| compass,Available. Released 2014 October,2.0| reversible connector
18,Apple,Watch Sport 42mm,2014 September,No,Non-removable Li-Ion 250 mAh battery (0.94 Wh),4.0| LE,520 MHz,Apple S1,Silver/White| Orange| Blue, Gray/Black,42 x 35.9 x 10.5 mm (1.65 x 1.41 x 0.41 in),(undefined),No,No,PowerVR SGX543,Yes,Yes,No cellular connectivity,(undefined),watchOS 1.0| upgradable to 3.2.2,(undefined),512 MB RAM,No,No,Available. Released 2015 April
19,Apple,iPhone,2007 January. Released 2007 June,Yes,Non-removable Li-Ion battery,2.0 (headset support only),412 MHz ARM 11,(undefined),Black,115 x 61 x 11.6 mm (4.53 x 2.40 x 0.46 in),TFT capacitive touchscreen 16M colors,PowerVR MBX,4/8/16 GB,Yes,No,GSM,iOS| upgradable to iOS 3.1.3,2 MP,(undefined),No,Mini-SIM,No,Accelerometer| proximity,Discontinued,2
20,Apple,Watch Edition Series 2 42mm,2016 September,No,Non-removable Li-Ion battery,4.0| LE,Dual-core,Apple S2,Sport Band/White,42.6 x 36.5 x 11.4 mm (1.68 x 1.44 x 0.45 in),AMOLED capacitive touchscreen 16M colors,(undefined),(undefined),Yes,No,No cellular connectivity,watchOS 3.0| upgradable to 3.2.2,(undefined),(undefined),No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2016 December,No
21,Apple,iPhone 7 Plus,2016 September,No,Non-removable Li-Ion 2900 mAh battery (11.1 Wh),4.2| A2DP| LE,Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),Apple A10 Fusion,Jet Black| Black| Silver| Gold| Rose Gold| Red,158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR Series7XT Plus (six-core graphics),32/128/256 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 10.0.1| upgradable to iOS 10.3.2,Dual 12 MP| (28mm| f/1.8| OIS & 56mm| f/2.8)| phase detection autofocus| 2x optical zoom| quad-LED (dual tone) flash|,3 GB RAM,No,Nano-SIM,7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer,Available. Released 2016 September,2.0| reversible connector
22,Apple,iPhone 3GS,2009 June. Released 2009 June,Yes,Non-removable Li-Ion battery,2.1| A2DP (headset support only),600 MHz Cortex-A8,(undefined),Black| White,115.5 x 62.1 x 12.3 mm (4.55 x 2.44 x 0.48 in),TFT capacitive touchscreen 16M colors,PowerVR SGX535,8/16/32 GB,Yes,No,GSM / HSPA,iOS 3| upgradable to iOS 6.1.6,3.15 MP| f/2.8| autofocus|,256 MB RAM,No,Mini-SIM,No,Accelerometer| proximity| compass,Discontinued,2
23,Apple,iPad mini Wi-Fi + Cellular,2012 October. Released 2012 November,Yes,Non-removable Li-Po 4490 mAh battery (16.7 Wh),4.0| A2DP| EDR,Dual-core 1.0 GHz Cortex-A9,Apple A5,Black/Slate| White/Silver,200 x 134.7 x 7.2 mm (7.87 x 5.30 x 0.28 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX543MP2,16/32/64 GB,Yes with stereo speakers,No,GSM / CDMA / HSPA / LTE,iOS 6| upgradable to iOS 9.3.5,5 MP| autofocus,512 MB RAM,No,Nano-SIM,1.2 MP| 720p@30fps| face detection| FaceTime over Wi-Fi or Cellular,Accelerometer| gyro| compass,Discontinued,GSM 850 / 900 / 1800 / 1900 - A1454
24,Apple,Watch Edition 38mm,2014 September,No,Non-removable Li-Ion 205 mAh battery (0.78 Wh),4.0| LE,520 MHz,Apple S1,18-karat Rose Gold/White| Rose Gray Buckle,38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),AMOLED capacitive touchscreen 16M colors,PowerVR SGX543,8 GB,Yes,No,No cellular connectivity,watchOS 1.0| upgradable to 3.2.2,(undefined),512 MB RAM,No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2015 July,No
25,Apple,iPad 3 Wi-Fi,2012 March,Yes,Non-removable Li-Po 11560 mAh battery (42.5 Wh),4.0| A2DP,Dual-core 1.0 GHz Cortex-A9,Apple A5X,Black| White,241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX543MP4 (quad-core graphics),16/32/64 GB,Yes,No,No cellular connectivity,iOS 5.1| upgradable to iOS 9.3.5,5 MP| autofocus,1 GB RAM,No,No,VGA| 480p@30fps| videocalling over Wi-Fi only,Accelerometer| gyro| compass,Available. Released 2012 March 16th,2
26,Apple,iPad 2 Wi-Fi,2011 March. Released 2011 March,Yes,Non-removable Li-Po 6930 mAh battery (25 Wh),2.1| A2DP| EDR,Dual-core 1.0 GHz Cortex-A9,Apple A5,Black| White,241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX543MP2,16/32/64 GB,Yes,No,No cellular connectivity,iOS 4| upgradable to iOS 9.3.5,0.7 MP,512 MB RAM,No,No,VGA,Accelerometer| gyro| compass,Discontinued,2
27,Apple,Watch 42mm,2014 September,No,Non-removable Li-Ion 250 mAh battery (0.94 Wh),4.0| LE,520 MHz,Apple S1,Stainless Steel/Red| White| Brown/Black/Blue/Marine Blue Buckle| Blue/Stone/White/Storm Gray Leather Loop| Silver/Space Black Milanese Loop| Link Bracelet| Space Black Stainless Steel/Black| Black Link Bracelet| Pearl Woven Nylon,42 x 35.9 x 10.5 mm (1.65 x 1.41 x 0.41 in),AMOLED capacitive touchscreen 16M colors,PowerVR SGX543,8 GB,Yes,No,No cellular connectivity,watchOS 1.0| upgradable to 3.2.2,(undefined),512 MB RAM,No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2015 April,No
28,Apple,Watch Series 1 Sport 42mm,2016 September,No,Non-removable Li-Ion 250 mAh battery (0.94 Wh),4.0| LE,Dual-core,Apple S1P,Case colors: silver| gold| rose gold| gray,42.5 x 36.4 x 10.5 mm (1.67 x 1.43 x 0.41 in),AMOLED capacitive touchscreen 16M colors,(undefined),8 GB,Yes,No,No cellular connectivity,watchOS 3.0| upgradable to 3.2.2,(undefined),512 MB RAM,No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2016 December,No
29,Apple,iPhone 3G,2008 June. Released 2008 July,Yes,Non-removable Li-Ion battery,2.0| A2DP (headset support only),412 MHz ARM 11,(undefined),Black(8/16 GB)| White (16 GB),115.5 x 62.1 x 12.3 mm (4.55 x 2.44 x 0.48 in),TFT capacitive touchscreen 16M colors,PowerVR MBX,8/16 GB,Yes,No,GSM / HSPA,iOS| upgradable to iOS 4.2.1,2 MP,128 MB RAM,No,Mini-SIM,No,Accelerometer| proximity,Discontinued,2
30,Apple,iPad mini Wi-Fi,2012 October. Released 2012 November,Yes,Non-removable Li-Po 4490 mAh battery (16.7 Wh),4.0| A2DP| EDR,Dual-core 1.0 GHz Cortex-A9,Apple A5,Black/Slate| White/Silver,200 x 134.7 x 7.2 mm (7.87 x 5.30 x 0.28 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX543MP2,16/32/64 GB,Yes with stereo speakers,No,No cellular connectivity,iOS 6| upgradable to iOS 9.3.5,5 MP| autofocus|,512 MB RAM,No,No,1.2 MP| 720p@30fps| face detection| FaceTime over Wi-Fi,Accelerometer| gyro| compass,Discontinued,2.0| reversible connector
31,Apple,Watch Series 1 Sport 38mm,2016 September,No,Non-removable Li-Ion 205 mAh battery (0.78 Wh),4.0| LE,Dual-core,Apple S1P,Case colors: silver| gold| rose gold| gray,38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in),AMOLED capacitive touchscreen 16M colors,(undefined),8 GB,Yes,No,No cellular connectivity,watchOS 3.0| upgradable to 3.2.2,(undefined),512 MB RAM,No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2016 December,No
32,Apple,iPhone 5,2012 September,Yes,Non-removable Li-Po 1440 mAh battery (5.45 Wh),4.0| A2DP| LE,Dual-core 1.3 GHz Swift (ARM v7-based),Apple A6,Black/Slate| White/Silver,123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX 543MP3 (triple-core graphics),16/32/64 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 6| upgradable to iOS 10.3,8 MP| f/2.4| 33mm| autofocus| LED flash|,1 GB RAM DDR2,No,Nano-SIM,1.2 MP| f/2.4| 35mm| 720p@30fps| face detection| FaceTime over Wi-Fi or Cellular,Accelerometer| gyro| proximity| compass,Available. Released 2012 September,2.0| reversible connector
33,Apple,iPad Wi-Fi,2010 January. Released 2010 March,Yes,Non-removable Li-Po 6600 mAh battery (24.8 Wh),2.1| A2DP| EDR,1.0 GHz Cortex-A8,Apple A4,Silver,242.8 x 189.7 x 13.4 mm (9.56 x 7.47 x 0.53 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX535,16/32/64 GB,Yes,No,No cellular connectivity,iOS 4| upgradable to iOS 5.1.1,(undefined),256 MB RAM,No,No,(undefined),Accelerometer,Discontinued,2
34,Apple,iPad 3 Wi-Fi + Cellular,2012 March,Yes,Non-removable Li-Po 11560 mAh battery (42.5 Wh),4.0| A2DP,Dual-core 1.0 GHz Cortex-A9,Apple A5X,Black| White,241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX543MP4 (quad-core graphics),16/32/64 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 5.1| upgradable to iOS 9.3.5,5 MP| autofocus|,1 GB RAM,No,Micro-SIM,VGA| 480p@30fps| videocalling over Wi-Fi only,Accelerometer| gyro| compass,Available. Released 2012 March 16th,2
35,Apple,iPad Pro 12.9,2017 June,Yes,Non-removable Li-Ion battery (41 Wh),4.2| A2DP| EDR,(undefined),Apple A10X Fusion,Space Gray| Gold| Silver,305.7 x 220.6 x 6.9 mm (12.04 x 8.69 x 0.27 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,Fi + Cellular model only),(undefined),64/256/512 GB,Yes with stereo speakers (4 speakers),NFC,HSPA 42.2/5.76 Mbps LTE-A (3CA) Cat9 450/50 Mbps EV-DO Rev.A 3.1 Mbps,iOS 10.3.2,12 MP| f/1.8| phase detection autofocus| OIS| quad-LED (dual tone) flash,4GB RAM,No,Nano-SIM/ Electronic SIM card (e-SIM),7 MP| f/2.2| 32mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,GSM 850 / 900 / 1800 / 1900
36,Apple,iPad 4 Wi-Fi + Cellular,2012 October,Yes,Non-removable Li-Po 11560 mAh battery (42.5 Wh),4.0| A2DP,Dual-core 1.4 GHz,Apple A6X,Black| White,241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX554MP4 (quad-core graphics),16/32/64/128 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 6| upgradable to iOS 10.3,5 MP| autofocus,1 GB RAM,No,Micro-SIM,1.2 MP| 720p@30fps| face detection| FaceTime over Wi-Fi or Cellular,Accelerometer| gyro| compass,Available. Released 2012 November,2.0| reversible connector
37,Apple,iPad Pro 9.7,2016 March,Yes,Non-removable Li-Ion battery (27.9 Wh),4.2| A2DP| EDR,Dual-core 2.16 GHz (Twister),Apple A9X,Silver| Gold| Space Gray| Rose Gold,240 x 169.5 x 6.1 mm (9.45 x 6.67 x 0.24 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,Fi + Cellular model only),PowerVR Series 7 (12-core graphics),32/128/256 GB,Yes with stereo speakers (4 speakers),NFC,HSPA 42.2/5.76 Mbps LTE-A Cat4 150/50 Mbps EV-DO Rev.A 3.1 Mbps,iOS 9.3.2| upgradable to iOS 10.3.2,12 MP| f/2.2| 29mm| phase detection autofocus| dual-LED (dual tone) flash,2 GB RAM,No,Nano-SIM/ Electronic SIM card (e-SIM),5 MP| f/2.2| 31mm| 1080p@30fps| 720p@240fps| face detection| HDR| panorama,Fingerprint (front-mounted)| accelerometer| gyro| compass| barometer,GSM 850 / 900 / 1800 / 1900
38,Apple,iPhone 5s,2013 September,Yes,Non-removable Li-Po 1560 mAh battery (5.92 Wh),4.0| A2DP,Dual-core 1.3 GHz Cyclone (ARM v8-based),Apple A7,Space Gray| White/Silver| Gold,123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR G6430 (quad-core graphics),16/32/64 GB,Yes,No,GSM / CDMA / HSPA / EVDO / LTE,iOS 7| upgradable to iOS 10.3.2,8 MP| f/2.2| 29mm| autofocus| dual-LED (dual tone) flash|,1 GB RAM DDR3,No,Nano-SIM,1.2 MP| f/2.4| 31mm| 720p@30fps| face detection| HDR| FaceTime over Wi-Fi or Cellular,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Available. Released 2013 September,2.0| reversible connector
39,Apple,Watch Series 2 42mm,2016 September,No,Non-removable Li-Ion battery,4.0| A2DP,Dual-core,Apple S2,Sport band: silver case/white| black case/black,42.5 x 36.4 x 11.4 mm (1.67 x 1.43 x 0.45 in),AMOLED capacitive touchscreen 16M colors,(undefined),(undefined),Yes,No,No cellular connectivity,watchOS 3.0| upgradable to 3.2.2,(undefined),(undefined),No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2016 December,No
40,Apple,iPhone 4,2010 June,Yes,Non-removable Li-Po 1420 mAh battery,2.1| A2DP,1.0 GHz Cortex-A8,Apple A4,Black| White,115.2 x 58.6 x 9.3 mm (4.54 x 2.31 x 0.37 in),LED-backlit IPS LCD capacitive touchscreen 16M colors,PowerVR SGX535,8/16/32 GB,Yes,No,GSM / HSPA,iOS 4| upgradable to iOS 7.1.2,5 MP| f/2.8| autofocus| LED flash|,512 MB RAM,No,Micro-SIM,VGA| 480p@30fps| videocalling over Wi-Fi only,Accelerometer| gyro| proximity| compass,Available. Released 2010 June,2
41,Apple,Watch Series 2 Sport 42mm,2016 September,No,Non-removable Li-Ion battery,4.0| A2DP,Dual-core,Apple S2,Case colors: silver| gold| rose gold| gray,42.5 x 36.4 x 11.4 mm (1.67 x 1.43 x 0.45 in),AMOLED capacitive touchscreen 16M colors,(undefined),(undefined),Yes,No,No cellular connectivity,watchOS 3.0| upgradable to 3.2.2,(undefined),(undefined),No,No,(undefined),Accelerometer| gyro| heart rate,Available. Released 2016 December,No
